CustomerID,first_purchase,last_purchase,n_orders,mean_order_value,frequency,recency,T,monetary,actual_future_purchases
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,0,0,34,4008.62,0.0
12379,2011-06-22 16:32:00,2011-06-22 16:32:00,1,459.84,0,0,75,459.84,1.0
12380,2011-06-07 09:49:00,2011-06-07 09:49:00,1,607.5500000000001,0,0,90,607.5500000000001,3.0
12381,2011-08-12 09:57:00,2011-08-12 09:57:00,1,1268.74,0,0,24,1268.74,4.0
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,370.11199999999997,4,167,257,370.11199999999997,0.0
12384,2011-08-10 11:23:00,2011-08-10 11:23:00,1,292.69,0,0,26,292.69,1.0
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,200.95,1,29,271,200.95,0.0
12388,2011-01-17 11:12:00,2011-07-14 13:28:00,4,417.08500000000004,3,178,231,417.08500000000004,2.0
12393,2011-01-11 09:47:00,2011-04-08 09:45:00,3,353.7,2,86,237,353.7,1.0
12394,2011-05-06 14:01:00,2011-05-06 14:01:00,1,381.08,0,0,122,381.08,1.0
12395,2010-12-03 16:35:00,2011-08-19 15:18:00,8,237.44625,7,258,276,237.44625,4.0
12397,2011-07-27 14:21:00,2011-07-27 14:21:00,1,1214.81,0,0,40,1214.81,1.0
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,277.1625,3,142,166,277.1625,0.0
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,0,0,208,84.3,0.0
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,0,0,228,225.6,0.0
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,0,0,53,1710.39,0.0
12406,2011-06-09 10:23:00,2011-06-09 10:23:00,1,1621.25,0,0,88,1621.25,1.0
12407,2011-03-20 13:21:00,2011-07-28 16:28:00,4,351.84,3,130,169,351.84,1.0
12408,2011-03-24 14:46:00,2011-09-02 10:27:00,4,533.5125,3,161,165,533.5125,1.0
12409,2011-06-10 12:19:00,2011-06-10 12:19:00,1,6207.08,0,0,87,6207.08,2.0
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,2,346.66499999999996,1,0,213,346.66499999999996,0.0
12412,2011-06-23 13:51:00,2011-07-25 11:17:00,2,445.37,1,31,74,445.37,1.0
12413,2011-01-06 16:12:00,2011-04-17 15:33:00,2,281.95,1,100,242,281.95,1.0
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,3,187.47,2,93,215,187.47,0.0
12415,2011-01-06 11:12:00,2011-09-01 13:51:00,15,6805.858666666666,14,238,242,6805.858666666666,6.0
12417,2010-12-17 11:51:00,2011-08-25 10:26:00,7,402.36,6,250,262,402.36,2.0
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,0,0,17,668.58,0.0
12421,2011-01-24 15:09:00,2011-08-17 10:56:00,3,209.51999999999998,2,204,224,209.51999999999998,1.0
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,3,267.8533333333333,2,229,229,267.8533333333333,0.0
12423,2010-12-21 10:54:00,2011-08-31 08:55:00,7,235.81,6,252,258,235.81,1.0
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,880.4800000000001,1,0,67,880.4800000000001,0.0
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,0,0,99,582.73,0.0
12427,2010-12-03 10:44:00,2010-12-03 10:44:00,1,303.5,0,0,276,303.5,2.0
12428,2011-03-01 09:33:00,2011-08-11 12:58:00,8,943.515,7,163,188,943.515,1.0
12429,2010-12-09 12:05:00,2011-06-20 12:14:00,3,948.2933333333334,2,193,270,948.2933333333334,1.0
12431,2010-12-01 10:03:00,2011-08-12 14:19:00,11,443.14272727272726,10,254,278,443.14272727272726,4.0
12432,2011-06-20 13:27:00,2011-06-22 13:12:00,3,1338.8866666666665,2,1,77,1338.8866666666665,2.0
12433,2010-12-01 13:24:00,2010-12-08 16:49:00,2,1893.56,1,7,278,1893.56,5.0
12434,2011-03-24 13:05:00,2011-03-24 13:05:00,1,286.25,0,0,165,286.25,1.0
12435,2011-03-17 07:40:00,2011-03-17 07:40:00,1,3978.9900000000002,0,0,173,3978.9900000000002,1.0
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,0,0,4,509.01,0.0
12437,2011-01-12 14:13:00,2011-09-02 13:15:00,11,255.58272727272725,10,232,236,255.58272727272725,7.0
12438,2011-07-22 13:29:00,2011-07-22 13:29:00,1,890.0699999999999,0,0,45,890.0699999999999,1.0
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,0,0,271,173.55,0.0
12444,2011-06-21 14:00:00,2011-08-10 08:41:00,2,1313.635,1,49,76,1313.635,3.0
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,0,0,148,476.49,0.0
12449,2011-06-05 15:37:00,2011-08-02 09:14:00,2,818.44,1,57,92,818.44,2.0
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,2,98.94,1,17,78,98.94,0.0
12451,2011-01-19 09:05:00,2011-05-05 17:34:00,2,2653.91,1,106,229,2653.91,3.0
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,0,0,39,707.09,0.0
12455,2011-02-16 09:56:00,2011-08-04 11:07:00,5,435.27200000000005,4,169,201,435.27200000000005,1.0
12456,2011-03-30 09:12:00,2011-07-31 15:25:00,2,1132.7,1,123,159,1132.7,1.0
12457,2011-04-14 18:57:00,2011-04-20 10:10:00,3,355.75,2,5,144,355.75,4.0
12458,2011-02-28 10:55:00,2011-02-28 10:55:00,1,441.92,0,0,189,441.92,1.0
12461,2011-07-08 10:23:00,2011-07-08 10:23:00,1,626.88,0,0,59,626.88,1.0
12462,2011-02-09 14:44:00,2011-02-09 14:44:00,1,762.11,0,0,208,762.11,1.0
12463,2011-04-12 12:47:00,2011-06-17 14:28:00,3,328.59666666666664,2,66,146,328.59666666666664,1.0
12464,2011-02-03 13:30:00,2011-08-25 13:33:00,6,130.09166666666667,5,203,214,130.09166666666667,2.0
12465,2011-06-23 13:37:00,2011-06-23 13:37:00,1,440.94,0,0,74,440.94,1.0
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,2,364.77000000000004,1,128,221,364.77000000000004,0.0
12471,2010-12-10 09:35:00,2011-08-24 16:13:00,19,585.0736842105263,18,257,269,585.0736842105263,11.0
12472,2010-12-05 14:19:00,2011-07-24 11:55:00,5,985.5200000000001,4,230,274,985.5200000000001,2.0
12473,2011-06-01 10:15:00,2011-08-17 12:04:00,2,593.125,1,77,96,593.125,3.0
12474,2011-01-14 10:06:00,2011-09-02 10:53:00,13,335.5430769230769,12,231,234,335.5430769230769,5.0
12476,2010-12-13 14:39:00,2011-07-21 17:39:00,6,531.945,5,220,266,531.945,5.0
12477,2011-02-11 12:45:00,2011-08-31 09:11:00,3,2944.6766666666663,2,200,206,2944.6766666666663,3.0
12480,2011-01-07 15:27:00,2011-07-19 14:04:00,3,714.9833333333332,2,192,241,714.9833333333332,1.0
12481,2010-12-09 10:13:00,2011-06-13 10:52:00,8,512.72,7,186,270,512.72,2.0
12483,2011-01-04 14:20:00,2011-09-02 11:42:00,6,270.6766666666667,5,240,244,270.6766666666667,2.0
12484,2011-01-07 14:04:00,2011-08-31 09:44:00,4,915.7875,3,235,241,915.7875,2.0
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,0,0,241,334.93,0.0
12490,2011-01-14 09:13:00,2011-08-31 12:33:00,5,503.354,4,229,234,503.354,5.0
12492,2011-08-26 14:51:00,2011-08-26 14:51:00,1,126.39000000000001,0,0,10,126.39000000000001,1.0
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,216.87,1,31,102,216.87,0.0
12494,2010-12-09 11:31:00,2011-07-01 12:17:00,5,173.772,4,204,270,173.772,2.0
12500,2011-01-10 09:48:00,2011-08-25 12:50:00,6,295.64000000000004,5,227,238,295.64000000000004,5.0
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,0,0,241,2169.39,0.0
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,744.774,4,214,214,744.774,0.0
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,0,0,137,73.5,0.0
12507,2011-02-14 09:24:00,2011-07-28 17:09:00,3,434.93666666666667,2,164,203,434.93666666666667,0.0
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,0,0,189,176.5,0.0
12510,2011-01-18 14:04:00,2011-07-20 10:15:00,2,491.28499999999997,1,182,230,491.28499999999997,0.0
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,0,0,17,612.29,0.0
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.68,0,0,172,1017.68,0.0
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,0,0,258,383.7,0.0
12516,2011-06-12 11:37:00,2011-06-12 11:37:00,1,583.2,0,0,85,583.2,1.0
12517,2011-06-02 15:13:00,2011-08-05 15:02:00,2,769.35,1,63,95,769.35,3.0
12518,2011-08-21 13:18:00,2011-08-21 13:18:00,1,324.83,0,0,15,324.83,4.0
12520,2011-03-11 11:35:00,2011-07-20 14:38:00,4,511.4625,3,131,178,511.4625,1.0
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,0,0,47,599.68,0.0
12523,2011-01-12 09:43:00,2011-08-24 10:13:00,7,145.39285714285714,6,224,236,145.39285714285714,4.0
12524,2011-01-10 10:35:00,2011-06-30 15:30:00,6,520.4133333333333,5,171,238,520.4133333333333,2.0
12527,2011-01-18 12:05:00,2011-02-18 09:41:00,2,142.46,1,30,230,142.46,1.0
12528,2011-01-31 09:05:00,2011-08-17 12:30:00,4,321.8425,3,198,217,321.8425,2.0
12530,2011-01-07 10:04:00,2011-08-08 10:59:00,3,407.2166666666667,2,213,241,407.2166666666667,1.0
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,0,0,35,1089.18,0.0
12535,2011-06-06 12:47:00,2011-06-06 12:47:00,1,371.45,0,0,91,371.45,1.0
12539,2011-01-10 09:11:00,2011-03-22 16:00:00,3,1505.8966666666665,2,71,238,1505.8966666666665,1.0
12540,2010-12-13 09:39:00,2011-08-24 08:09:00,10,878.6869999999999,9,253,266,878.6869999999999,7.0
12541,2011-03-04 09:32:00,2011-06-19 15:59:00,2,268.07,1,107,185,268.07,1.0
12545,2011-03-25 12:04:00,2011-03-25 12:04:00,1,628.15,0,0,164,628.15,1.0
12547,2011-03-04 12:46:00,2011-05-26 12:38:00,2,103.9,1,82,185,103.9,0.0
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,0,0,71,95.19999999999999,0.0
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,0,0,262,168.0,0.0
12553,2011-01-14 10:42:00,2011-08-21 14:42:00,7,345.6557142857143,6,219,234,345.6557142857143,3.0
12556,2011-07-11 13:35:00,2011-07-11 13:35:00,1,312.9,0,0,56,312.9,1.0
12557,2010-12-03 12:20:00,2011-07-04 13:19:00,4,2250.2400000000002,3,213,276,2250.2400000000002,1.0
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,280.855,1,8,224,280.855,0.0
12560,2011-07-19 15:55:00,2011-08-19 15:22:00,2,718.155,1,30,48,718.155,1.0
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,0,0,207,238.85,0.0
12562,2011-05-25 12:44:00,2011-08-05 08:40:00,3,535.0766666666667,2,71,103,535.0766666666667,4.0
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.9,0,0,166,456.9,0.0
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92,0,0,193,145.92,0.0
12567,2010-12-05 11:57:00,2011-09-04 14:22:00,9,872.2199999999999,8,273,274,872.2199999999999,1.0
12569,2011-04-01 13:47:00,2011-09-04 12:23:00,13,151.91384615384615,12,155,157,151.91384615384615,19.0
12571,2011-08-10 12:35:00,2011-08-10 12:35:00,1,248.35,0,0,26,248.35,1.0
12573,2011-04-26 15:52:00,2011-04-26 15:52:00,1,160.54000000000002,0,0,132,160.54000000000002,0.0
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45,0,0,220,218.45,0.0
12576,2011-02-08 11:31:00,2011-09-05 10:06:00,4,234.1375,3,208,209,234.1375,1.0
12577,2010-12-15 16:21:00,2010-12-15 16:21:00,1,195.89,0,0,264,195.89,2.0
12578,2011-01-13 15:34:00,2011-01-13 15:34:00,1,1608.66,0,0,235,1608.66,1.0
12580,2011-04-07 10:24:00,2011-04-07 10:24:00,1,415.7,0,0,151,415.7,0.0
12582,2011-02-24 11:42:00,2011-04-15 08:45:00,2,255.68,1,49,193,255.68,0.0
12583,2010-12-01 08:45:00,2011-08-25 12:26:00,9,470.24555555555554,8,267,278,470.24555555555554,6.0
12584,2011-03-04 15:15:00,2011-08-04 17:07:00,4,195.6475,3,153,185,195.6475,5.0
12585,2010-12-23 12:58:00,2011-04-19 13:39:00,2,1020.05,1,117,256,1020.05,0.0
12589,2011-07-18 12:05:00,2011-07-18 12:05:00,1,131.5,0,0,49,131.5,1.0
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,2,4932.13,1,0,116,4932.13,0.0
12591,2011-01-26 14:35:00,2011-01-26 14:35:00,1,452.84999999999997,0,0,222,452.84999999999997,0.0
12592,2011-05-10 13:44:00,2011-05-10 13:44:00,1,231.8,0,0,118,231.8,1.0
12593,2011-05-05 09:29:00,2011-08-23 12:43:00,3,139.36666666666667,2,110,123,139.36666666666667,0.0
12594,2011-01-21 09:52:00,2011-08-10 14:26:00,8,316.2375,7,201,227,316.2375,2.0
12596,2011-04-11 13:22:00,2011-04-11 13:22:00,1,269.95,0,0,147,269.95,1.0
12597,2011-03-16 14:00:00,2011-06-09 16:04:00,2,714.405,1,85,173,714.405,2.0
12598,2011-02-28 11:58:00,2011-07-01 11:43:00,4,396.095,3,122,189,396.095,4.0
12599,2011-02-08 13:28:00,2011-08-05 12:38:00,6,142.84,5,177,209,142.84,1.0
12600,2010-12-03 12:57:00,2011-08-19 11:23:00,8,242.07,7,258,276,242.07,2.0
12601,2011-01-11 10:38:00,2011-06-03 10:17:00,5,115.41199999999999,4,142,237,115.41199999999999,0.0
12604,2011-03-23 12:06:00,2011-03-23 12:06:00,1,178.5,0,0,166,178.5,1.0
12609,2011-01-25 15:13:00,2011-06-06 15:31:00,2,400.365,1,132,223,400.365,1.0
12610,2011-08-05 13:52:00,2011-08-25 12:57:00,2,628.125,1,19,31,628.125,3.0
12613,2011-03-22 15:42:00,2011-05-26 09:18:00,4,365.63,3,64,167,365.63,1.0
12614,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,0,0,182,315.6,0.0
12615,2011-06-24 13:35:00,2011-06-24 13:35:00,1,634.74,0,0,73,634.74,3.0
12616,2011-02-15 14:17:00,2011-09-05 15:17:00,2,356.65,1,202,202,356.65,0.0
12619,2011-03-31 13:10:00,2011-08-15 13:22:00,5,417.492,4,137,158,417.492,4.0
12620,2011-05-19 12:10:00,2011-05-19 12:10:00,1,561.66,0,0,109,561.66,2.0
12621,2010-12-09 10:16:00,2011-08-31 15:30:00,15,679.6693333333333,14,265,270,679.6693333333333,5.0
12622,2011-04-21 16:39:00,2011-04-21 16:39:00,1,180.1,0,0,137,180.1,0.0
12623,2011-03-08 13:50:00,2011-03-08 13:50:00,1,305.1,0,0,181,305.1,0.0
12624,2011-06-15 12:34:00,2011-08-25 15:04:00,2,320.565,1,71,82,320.565,0.0
12625,2011-01-24 13:27:00,2011-05-12 09:54:00,2,1341.9099999999999,1,107,224,1341.9099999999999,0.0
12626,2011-01-17 11:01:00,2011-08-19 11:46:00,6,795.6666666666666,5,214,231,795.6666666666666,3.0
12627,2011-07-22 13:59:00,2011-09-04 14:09:00,5,545.566,4,44,45,545.566,2.0
12633,2011-02-25 08:44:00,2011-08-02 09:35:00,3,649.5833333333334,2,158,192,649.5833333333334,1.0
12635,2011-07-08 08:43:00,2011-07-08 08:43:00,1,683.64,0,0,59,683.64,1.0
12637,2011-01-20 10:47:00,2011-07-05 15:14:00,5,509.01666666666665,4,166,228,509.01666666666665,3.0
12639,2011-04-15 12:48:00,2011-04-15 12:48:00,1,486.1,0,0,143,486.1,0.0
12641,2011-08-16 13:26:00,2011-08-16 13:26:00,1,185.9,0,0,20,185.9,0.0
12642,2011-08-24 09:23:00,2011-08-24 09:23:00,1,366.45,0,0,12,366.45,2.0
12643,2011-01-11 11:48:00,2011-08-03 12:56:00,6,557.44,5,204,237,557.44,0.0
12644,2011-08-02 10:33:00,2011-08-02 10:33:00,1,477.91,0,0,34,477.91,0.0
12645,2011-01-27 13:08:00,2011-08-22 12:40:00,3,436.9533333333334,2,206,221,436.9533333333334,1.0
12647,2010-12-05 14:02:00,2011-08-05 13:49:00,9,320.74555555555554,8,242,274,320.74555555555554,3.0
12648,2011-07-08 11:55:00,2011-07-08 11:55:00,1,318.05,0,0,59,318.05,0.0
12649,2011-05-11 14:37:00,2011-08-24 14:41:00,3,207.83666666666667,2,105,117,207.83666666666667,0.0
12651,2011-01-09 12:46:00,2011-01-09 12:46:00,1,114.0,0,0,239,114.0,0.0
12652,2011-01-12 15:00:00,2011-01-12 15:00:00,1,919.98,0,0,236,919.98,0.0
12653,2011-02-16 10:53:00,2011-07-14 10:41:00,2,1104.925,1,147,201,1104.925,0.0
12654,2011-02-17 13:16:00,2011-05-26 10:43:00,3,112.58333333333333,2,97,200,112.58333333333333,2.0
12656,2011-04-20 09:20:00,2011-08-15 12:53:00,3,940.2233333333334,2,117,138,940.2233333333334,2.0
12662,2010-12-01 13:04:00,2011-08-24 13:42:00,7,379.0942857142857,6,266,278,379.0942857142857,4.0
12664,2011-01-21 11:42:00,2011-07-19 12:43:00,3,652.4933333333333,2,179,227,652.4933333333333,6.0
12665,2011-01-19 08:34:00,2011-01-19 08:34:00,1,63.0,0,0,229,63.0,0.0
12668,2010-12-19 12:46:00,2011-03-25 14:53:00,3,974.8233333333333,2,96,260,974.8233333333333,1.0
12669,2011-03-28 10:15:00,2011-07-12 09:54:00,3,914.6766666666666,2,105,161,914.6766666666666,0.0
12670,2011-04-21 10:16:00,2011-09-02 09:51:00,3,544.8233333333333,2,133,137,544.8233333333333,2.0
12672,2011-01-14 09:20:00,2011-01-14 09:20:00,1,225.89999999999998,0,0,234,225.89999999999998,0.0
12673,2011-01-17 11:46:00,2011-01-17 11:46:00,1,220.9,0,0,231,220.9,1.0
12674,2011-05-16 09:10:00,2011-06-22 09:43:00,2,488.4,1,37,112,488.4,2.0
12676,2011-02-01 15:41:00,2011-08-08 10:01:00,4,249.5125,3,187,216,249.5125,2.0
12678,2010-12-21 11:00:00,2011-08-31 11:22:00,9,920.2511111111112,8,253,258,920.2511111111112,3.0
12679,2011-03-01 12:26:00,2011-05-18 12:18:00,2,453.19,1,77,188,453.19,2.0
12680,2011-08-18 15:44:00,2011-08-18 15:44:00,1,311.78,0,0,18,311.78,3.0
12681,2010-12-07 10:08:00,2011-07-11 11:39:00,15,657.772,14,216,272,657.772,7.0
12682,2010-12-03 13:59:00,2011-08-31 12:18:00,20,410.996,19,270,276,410.996,11.0
12683,2010-12-09 10:37:00,2011-08-26 15:44:00,11,565.2618181818182,10,260,270,565.2618181818182,4.0
12684,2011-05-10 12:55:00,2011-06-22 11:20:00,4,344.87,3,42,118,344.87,3.0
12686,2010-12-03 09:51:00,2010-12-03 09:51:00,1,89.14,0,0,276,89.14,0.0
12688,2011-08-18 08:49:00,2011-08-18 08:49:00,1,4873.8099999999995,0,0,18,4873.8099999999995,0.0
12689,2011-08-04 10:04:00,2011-08-04 10:04:00,1,511.03,0,0,32,511.03,1.0
12690,2011-05-18 09:09:00,2011-05-18 09:09:00,1,389.01,0,0,110,389.01,0.0
12691,2010-12-17 14:46:00,2011-07-17 14:56:00,4,139.075,3,212,262,139.075,2.0
12693,2011-01-24 12:58:00,2011-08-04 17:51:00,4,213.97750000000002,3,192,224,213.97750000000002,0.0
12694,2011-06-09 17:48:00,2011-06-09 17:48:00,1,439.5,0,0,88,439.5,1.0
12695,2011-05-13 13:15:00,2011-08-24 12:58:00,2,166.95,1,102,115,166.95,2.0
12697,2011-06-23 15:44:00,2011-07-31 14:17:00,2,366.955,1,37,74,366.955,1.0
12700,2011-05-08 16:10:00,2011-07-06 13:14:00,2,1074.525,1,58,120,1074.525,2.0
12701,2011-04-11 13:02:00,2011-04-11 13:02:00,1,337.08,0,0,147,337.08,1.0
12704,2011-06-23 10:20:00,2011-08-26 08:59:00,3,366.97333333333336,2,63,74,366.97333333333336,5.0
12705,2010-12-17 15:58:00,2011-07-04 14:36:00,4,1040.63,3,198,262,1040.63,5.0
12707,2011-02-21 08:38:00,2011-02-21 08:38:00,1,603.42,0,0,196,603.42,0.0
12708,2010-12-06 10:43:00,2011-08-30 08:15:00,7,290.2528571428571,6,266,273,290.2528571428571,3.0
12709,2010-12-08 09:49:00,2011-09-04 14:06:00,11,657.3445454545455,10,270,271,657.3445454545455,4.0
12710,2011-05-22 14:05:00,2011-09-04 12:00:00,3,383.00666666666666,2,104,106,383.00666666666666,0.0
12712,2010-12-03 14:30:00,2011-08-25 09:18:00,11,355.73454545454547,10,264,276,355.73454545454547,2.0
12714,2011-02-18 10:53:00,2011-08-25 09:55:00,4,847.425,3,187,199,847.425,1.0
12715,2011-08-25 15:22:00,2011-08-25 15:22:00,1,353.86,0,0,11,353.86,0.0
12716,2011-07-29 13:28:00,2011-07-29 13:28:00,1,677.9,0,0,38,677.9,1.0
12717,2011-04-08 10:32:00,2011-07-11 14:47:00,2,515.49,1,94,150,515.49,0.0
12720,2010-12-05 15:21:00,2011-08-07 11:59:00,15,220.96666666666667,14,244,274,220.96666666666667,10.0
12721,2010-12-20 11:38:00,2011-06-09 17:53:00,4,424.7275,3,171,259,424.7275,2.0
12722,2011-07-12 11:55:00,2011-08-17 08:50:00,3,309.8833333333334,2,35,55,309.8833333333334,1.0
12724,2011-01-11 15:00:00,2011-06-19 13:37:00,2,140.18,1,158,237,140.18,2.0
12725,2010-12-03 15:45:00,2010-12-03 15:45:00,1,427.8,0,0,276,427.8,0.0
12726,2010-12-17 12:56:00,2011-06-08 10:10:00,5,293.464,4,172,262,293.464,2.0
12727,2011-01-23 15:17:00,2011-09-05 13:38:00,6,556.2833333333333,5,224,225,556.2833333333333,1.0
12728,2011-01-11 13:31:00,2011-03-27 13:07:00,3,205.76999999999998,2,74,237,205.76999999999998,1.0
12729,2011-08-18 11:40:00,2011-08-18 11:40:00,1,453.01,0,0,18,453.01,0.0
12731,2010-12-10 10:56:00,2011-07-18 14:10:00,8,1415.53125,7,220,269,1415.53125,4.0
12732,2011-06-13 11:33:00,2011-06-13 11:33:00,1,236.26000000000002,0,0,84,236.26000000000002,0.0
12733,2011-04-19 16:19:00,2011-04-19 16:19:00,1,383.95,0,0,139,383.95,0.0
12734,2010-12-22 12:47:00,2010-12-22 12:47:00,1,110.39999999999999,0,0,257,110.39999999999999,0.0
12735,2011-01-06 14:26:00,2011-01-28 13:37:00,2,389.78499999999997,1,21,242,389.78499999999997,0.0
12736,2011-01-11 07:57:00,2011-01-11 07:57:00,1,234.0,0,0,238,234.0,0.0
12738,2010-12-02 18:27:00,2010-12-02 18:27:00,1,155.35,0,0,277,155.35,0.0
12739,2011-09-01 17:45:00,2011-09-01 17:45:00,1,975.54,0,0,4,975.54,1.0
12743,2011-07-28 16:06:00,2011-07-28 16:21:00,2,273.21500000000003,1,0,39,273.21500000000003,0.0
12744,2011-01-25 13:26:00,2011-07-18 11:55:00,5,2842.3940000000002,4,173,223,2842.3940000000002,2.0
12747,2010-12-05 15:38:00,2011-08-22 10:38:00,8,346.17499999999995,7,259,274,346.17499999999995,3.0
12748,2010-12-01 12:48:00,2011-09-02 16:53:00,129,104.48446153846153,128,275,278,104.48446153846153,80.0
12749,2011-05-10 15:25:00,2011-08-01 12:50:00,3,918.41,2,82,118,918.41,2.0
12750,2011-08-03 09:13:00,2011-08-03 09:13:00,1,275.88,0,0,33,275.88,0.0
12753,2010-12-12 11:44:00,2011-07-27 09:32:00,5,3324.182,4,226,267,3324.182,1.0
12754,2011-02-04 10:31:00,2011-04-18 09:00:00,3,752.685,2,72,213,752.685,0.0
12755,2010-12-09 10:44:00,2011-03-04 12:42:00,2,1905.975,1,85,270,1905.975,0.0
12757,2011-05-12 19:01:00,2011-07-20 12:05:00,7,754.4399999999999,6,68,116,754.4399999999999,6.0
12758,2011-03-08 12:05:00,2011-08-15 10:22:00,2,1395.795,1,159,181,1395.795,0.0
12759,2011-03-09 08:09:00,2011-06-21 09:26:00,2,541.26,1,104,181,541.26,1.0
12763,2010-12-05 15:46:00,2011-07-24 14:12:00,2,247.04,1,230,274,247.04,0.0
12764,2011-01-27 10:19:00,2011-01-27 10:19:00,1,1693.88,0,0,221,1693.88,0.0
12766,2010-12-08 13:53:00,2011-07-13 13:37:00,5,990.4380000000001,4,216,271,990.4380000000001,2.0
12769,2011-04-15 10:25:00,2011-04-15 10:25:00,1,1143.6,0,0,143,1143.6,0.0
12770,2011-05-13 09:33:00,2011-05-13 09:33:00,1,1351.45,0,0,115,1351.45,0.0
12775,2011-02-01 13:45:00,2011-06-03 07:48:00,4,291.17,3,121,216,291.17,1.0
